pub_sourceid,sourcetitle,AJSC_Codes
19800188012,Journal of Morphological Sciences,1307
21100456724,Indian Journal of Endocrinology and Metabolism,2712
29368,Public Health Nursing,2739
6100153013,Journal of the Egyptian National Cancer Institute,1306
15987,Journal of Pain,2808
28161,Reproductive BioMedicine Online,1309
18000156703,Counselling and Psychotherapy Research,2738
26159,Journal of Clinical Endocrinology and Metabolism,1308
18402,"Medicine, Healthcare and Philosophy",2719
36513,BMC Infectious Diseases,2725
22432,International Immunopharmacology,3004
20814,Harm Reduction Journal,2739
4700152612,Current Nanoscience,2204
25655,Journal of Adolescence,3204
62608,Indian Journal of Urology,2748
12547,Australian and New Zealand Journal of Obstetrics and Gynaecology,2729
37502,Journal of Obstetrics and Gynaecology Canada,2729
13070,Spine Journal,2746
17382,Molecular Psychiatry,2804
26074,Transfusion and Apheresis Science,2720
19200156952,Journal of Innate Immunity,2723
5800207508,Molecular Oncology,1306
12708,Fetal Diagnosis and Therapy,2729
5300152725,Journal of Children's Orthopaedics,2735
26094,American Journal of Clinical Hypnosis,2707
26155,Journal of Oral Pathology and Medicine,2733
14609,Ophthalmic Plastic and Reconstructive Surgery,2746
14487,Journal of Ocular Pharmacology and Therapeutics,3004
28003,Revista Espanola de Nutricion Comunitaria,2701
17700156440,Nature Reviews Endocrinology,2712
21100422918,Bone and Joint Research,2746
19600161811,Research in gerontological nursing,2719
25364,Scandinavian Journal of Gastroenterology,2715
21100207641,European Oncology and Haematology,2720
16683,Journal of Clinical Neuroscience,2737
130008,Photodiagnosis and Photodynamic Therapy,2736
21100222518,"Journal of Oral and Maxillofacial Surgery, Medicine, and Pathology",2733
145675,Social Work in Mental Health,3301
16245,Journal of Affective Disorders,3203
14211,Archives of Psychiatry and Psychotherapy,2738
20934,"Sport, Education and Society",3612
11300153407,JACC: Cardiovascular Imaging,2741
16745,Journal of Neuroendocrinology,1310
19600157309,Journal of Hepato-Biliary-Pancreatic Sciences,2721
18403,Apoptosis : an international journal on programmed cell death,1306
7000153203,Journal of Studies on Alcohol and Drugs,3005
19700175861,Gut Microbes,2725
13192,Radioprotection,2739
13198,Ethnicity and Disease,2713
20577,World Journal of Urology,2748
20877,Health Education and Behavior,1201
18966,Mutagenesis,3005
12198,Journal of Bone and Joint Surgery - Series A,2746
19400157005,Journal of Hard Tissue Biology,1303
17025,Pflugers Archiv European Journal of Physiology,1314
14734,International Journal for Quality in Health Care,2719
18386,Acta Histochemica et Cytochemica,1303
19400158512,Musculoskeletal Surgery,2732
25997,International Journal of Hematology,2720
29956,Journal of Pediatric Hematology/Oncology,2730
19900192710,Cellular oncology (Dordrecht),1306
13343,Nutrition Research,1310
29405,Journal of Visual Impairment and Blindness,2742
14876,Electromagnetic Biology and Medicine,2701
21100329539,Journal of Eating Disorders,2738
23481,Journal of Vestibular Research: Equilibrium and Orientation,2809
21100372101,Nanotechnology Reviews,2502
110163,Polish Journal of Microbiology,2726
21100414802,Genes and Diseases,1312
13816,Cornea,2731
22284,Seminars in Thoracic and Cardiovascular Surgery,2740
19615,Antimicrobial Agents and Chemotherapy,2736
21100199851,International Journal of Athletic Therapy and Training,2742
22445,Annals of Noninvasive Electrocardiology,2705
21100438328,Health security,3311
17067,Phytomedicine,3003
29559,Journals of Gerontology - Series A Biological Sciences and Medical Sciences,1302
19400158804,Translational Stroke Research,2728
15405,Journal of Child Psychotherapy,3203
15664,Functional Neurology,2728
21100438049,Cardiovascular Endocrinology,2724
16756,Acta Histochemica,2722
19700183044,Thyroid Research,2712
16480,Kennedy Institute of Ethics Journal,1207
13241,"Nutrition, Metabolism and Cardiovascular Diseases",2916
21100228130,International Journal for Parasitology: Parasites and Wildlife,2405
18712,Psychiatry and Clinical Neurosciences,2808
13823,Noise and Health,3616
21100208066,Journal of Oral Microbiology,3501
21100372101,Nanotechnology Reviews,1508
27242,Laboratory Investigation,2734
17320,Bulletin of the Menninger Clinic,3203
18797,Current Opinion in Immunology,2403
4000149101,"Nanomedicine: Nanotechnology, Biology, and Medicine",1313
19700201314,Mycology,1110
8300153105,Current Reviews in Musculoskeletal Medicine,2732
19724,Helicobacter,2715
21100466857,JBJS Case Connector,2732
5800173402,Recent Patents on CNS Drug Discovery,2738
130123,Hemodialysis International,2727
16761,Journal of Neuropathology and Experimental Neurology,2728
19700169102,Journal of Stem Cells,2747
28003,Revista Espanola de Nutricion Comunitaria,2916
22384,International Journal of STD and AIDS,2725
40750,Clinical Nuclear Medicine,2741
18829,Scandinavian Journal of Occupational Therapy,2739
15724,Pediatric Exercise Science,3612
5700167235,International Journal of Consumer Studies,2739
23185,European Journal of Cardio-thoracic Surgery,2740
19900191564,Journal of International Peacekeeping,3320
21684,Journal of Heart and Lung Transplantation,2740
20500195020,Gut Pathogens,2404
25441,Cardiovascular Diabetology,2705
12218,Journal of Head Trauma Rehabilitation,2728
21100398887,Journal of Stroke,2728
19700188334,Clinical and Experimental Neuroimmunology,2403
20802,Vector-Borne and Zoonotic Diseases,2404
14415,Rehabilitation Counseling Bulletin,3202
28598,Journal of X-Ray Science and Technology,3105
26062,Endocrinology and Metabolism Clinics of North America,2712
130005,European Journal of Medical Genetics,2716
21100201994,International Musculoskeletal Medicine,2732
7800153101,Review of Diabetic Studies,1310
21865,Fundamental and Clinical Pharmacology,3004
27620,American Journal of Health Promotion,2739
12400154722,Informatics for Health and Social Care,2718
24749,Addiction Biology,2701
23728,Telemedicine Journal and e-Health,3605
11600154152,Iranian Journal of Pediatrics,2735
20601,Paediatric Drugs,2736
17500155129,PET Clinics,2741
29722,Journal of Medical Biography,1207
29232,International Journal of Occupational Safety and Ergonomics,2213
26088,Transfusion Medicine Reviews,1308
28127,Environmental Health and Preventive Medicine,2739
12560,Birth,2729
16812,Journal of Psychiatric Research,2803
21267,Journal of Allergy and Clinical Immunology,2403
20228,Emerging Infectious Diseases,2713
20200,Travel Medicine and Infectious Disease,2725
20200,Travel Medicine and Infectious Disease,2739
85291,JAMA - Journal of the American Medical Association,2700
21731,Journal of Thoracic and Cardiovascular Surgery,2705
19094,Acta Virologica,2406
19143,Arthritis Care and Research,2745
19621,BMC Public Health,2739
17500155127,Sleep Medicine Clinics,3206
24060,Journal of Radioanalytical and Nuclear Chemistry,2741
17500155016,Journal of Functional Foods,2916
13422,Psychoanalytic Quarterly,1201
24899,Photodermatology Photoimmunology and Photomedicine,2403
18000156703,Counselling and Psychotherapy Research,3202
19054,Military Medicine,2739
20648,Thrombosis Research,2720
28025,Gait and Posture,1304
19900191881,Ethiopian Journal of Health Development,2725
11000153729,Professional Case Management,2904
27743,Forensic Science International,2734
12541,Dokkyo Journal of Medical Sciences,2700
23217,Heart,2705
28586,BioMedical Engineering Online,3614
25453,Biology of Blood and Marrow Transplantation,2747
5200152805,Journal of hospital medicine (Online),2719
17400154828,Psychological Injury and Law,2303
15856,Journal of Clinical Densitometry,2741
17309,Neuroradiology,2728
16704,Journal of ECT,2738
21166,Pharmacoepidemiology and Drug Safety,2736
21100409310,Journal of Medical Radiation Sciences,2741
21100201916,Pediatric obesity,2735
21100324716,Journal of Disability and Religion,1212
130044,Pharmacogenetics and Genomics,1312
13517,Ultrasonics Sonochemistry,3102
22393,Indian Journal of Pharmacology,3004
19900193683,European Endocrinology,1310
16762,Journal of Neuropsychiatry and Clinical Neurosciences,2728
21100792103,Applied Biosafety,2308
23481,Journal of Vestibular Research: Equilibrium and Orientation,2733
19700166902,Wiley Interdisciplinary Reviews: Nanomedicine and Nanobiotechnology,2204
17255,Korean Journal of Radiology,2741
5300152517,International Journal on Disability and Human Development,2738
19897,European Urology,2748
16319,IEEE Transactions on Nanobioscience,2701
19400157151,DMM Disease Models and Mechanisms,1300
16246,Journal of Alzheimer's Disease,2738
24745,Addiction,2701
16270,Archives of Physical Medicine and Rehabilitation,3612
21945,Substance Use and Misuse,3306
21100205998,Pathogens and Global Health,2405
25337,Neurogastroenterology and Motility,1314
21100241659,Annals of the American Thoracic Society,2740
21100394093,Extreme Physiology and Medicine,1314
24060,Journal of Radioanalytical and Nuclear Chemistry,1602
7100153145,Developmental Neurorehabilitation,2735
16785,Journal of NeuroVirology,2804
25372,Psychology of Addictive Behaviors,2738
21100773851,Journal of Gastrointestinal Oncology,2715
19181,Psychotherapy and Psychosomatics,3202
23122,Tropical Medicine and International Health,2739
16709,Journal of Forensic Psychiatry and Psychology,2738
21431,Indoor Air,2215
21123,Pharmaceutical Research,2736
22488,Basic Research in Cardiology,2737
12259,Journal of Orthopaedics and Traumatology,2746
17906,"Seminars in Ultrasound, CT and MRI",2741
14899,Clinical Neuropathology,2734
19816,Biology of Sport,2737
12100155717,British Journal of Visual Impairment,2731
26516,"Annals of the Academy of Medicine, Singapore",2700
23879,Journal of Interventional Cardiac Electrophysiology,2737
15738,Pediatric Hematology and Oncology,2735
4700152489,Targeted Oncology,2736
21100218529,Value in Health Regional Issues,2719
6100153013,Journal of the Egyptian National Cancer Institute,2730
4400151523,Clinical Practice and Epidemiology in Mental Health,2713
29604,Clinics in Podiatric Medicine and Surgery,2732
26038,Endocrine Reviews,1310
27666,Menopause,2729
24456,Child Development,3204
11300153408,JACC: Cardiovascular Interventions,2705
15576,European Neuropsychopharmacology,2728
29897,International Journal of Clinical Oncology,2720
18922,Journal of Gene Medicine,2716
18742,Psychological Medicine,2738
18742,Psychological Medicine,3202
4000149409,Quarterly Journal of Experimental Psychology,3206
21100203116,CKJ: Clinical Kidney Journal,2727
26382,Drug and Alcohol Review,3306
22579,Catheterization and Cardiovascular Interventions,2705
27584,Journal of Human Lactation,2729
21100369870,The Lancet HIV,2406
30056,Acta Obstetricia et Gynecologica Scandinavica,2729
19830,Sleep,2728
22240,Human Biology,2716
12080,Australian Health Review,2719
4700152490,Computer-Assisted Radiology and Surgery,2746
30081,Archives of Disease in Childhood: Fetal and Neonatal Edition,2729
19700171310,Hormone Research in Paediatrics,2712
19946,International Urology and Nephrology,2748
145362,Dermatologica Sinica,2708
19700174939,Indian Journal of Medical and Paediatric Oncology,2730
130067,Journal of Molecular Histology,1307
16222,Turkish Journal of Pediatrics,2735
21090,Journal of Sports Sciences,2732
6400153108,Artery Research,2737
19236,Journal of Clinical Rheumatology,2745
13265,Journal of AAPOS,2731
12260,Journal of Pediatric Orthopaedics,2735
11700154623,Pediatric Rheumatology,2745
19781,Scandinavian Journal of Rheumatology,2723
23849,Journal of Cardiovascular Nursing,2705
21100384222,Egyptian Journal of Forensic Sciences,2734
21100790340,Oxford Medical Case Reports,2404
25313,Journal of Child and Adolescent Substance Abuse,2739
19588,Surgical and Radiologic Anatomy,2702
27467,Gynecologic Oncology,2730
19700166804,Ticks and Tick-borne Diseases,2404
23845,Journal of Cardiovascular Magnetic Resonance,2741
21100394090,Infectious Diseases of Poverty,2739
24944,Sexually Transmitted Diseases,2725
19837,Sleep Medicine Reviews,2808
15846,Journal of Biomechanics,2732
37369,Journal of Neurosurgery: Spine,2728
17229,Journal of Nuclear Cardiology,2705
26699,Reviews in Endocrine and Metabolic Disorders,2712
19700187632,Physical Education and Sport Pedagogy,3304
21100208044,Policy and Internet,3321
21100416147,Reproductive Biomedicine and Society Online,2743
28281,Colorectal Disease,2715
29542,Journal of Anatomy,2722
36956,"Culture, Medicine and Psychiatry",3314
4000149001,Cancer Imaging,2741
16088,Journal of Nanobiotechnology,2402
15300154855,Journal of Neural Transmission,2728
18842,Scandinavian Journal of Public Health,2739
18403,Apoptosis : an international journal on programmed cell death,2704
27800,Science and Justice - Journal of the Forensic Science Society,2734
4700152707,American Journal of Psychiatric Rehabilitation,2738
4100151514,Critical care and resuscitation : journal of the Australasian Academy of Critical Care Medicine.,2711
16901,Biological Trace Element Research,1303
21100403902,Metabolites,1312
13377,Health Services and Outcomes Research Methodology,2739
18572,Parkinsonism and Related Disorders,2717
19700187609,International Journal of Psychoanalytic Self Psychology,3203
21100242232,Healthcare Informatics Research,2204
19700174680,Shiraz E Medical Journal,2700
21100454943,Physiological Reports,1314
19842,Exercise and Sport Sciences Reviews,2732
28310,European Journal of Gastroenterology and Hepatology,2715
20559,Progress in Pediatric Cardiology,2735
12584,Drug Metabolism Reviews,2736
16597,CardioVascular and Interventional Radiology,2705
29604,Clinics in Podiatric Medicine and Surgery,2746
21100217005,Journal of Medicine and Biomedical Research,2700
19915,Physician and Sportsmedicine,2732
13035,Annals of Human Biology,1314
20996,British Journal of Surgery,2746
17732,Quality of Life Research,2739
17243,Journal of Vascular and Interventional Radiology,2741
21100401152,Microbiome,2726
21100322088,BMJ Supportive and Palliative Care,2914
52691,Aerobiologia,1110
4000152107,Journal of Venomous Animals and Toxins Including Tropical Diseases,2725
19700200840,Childhood Obesity,2735
19400156832,Brain Impairment,2728
20264,Microbes and Infection,2725
500147005,Maternal and Child Nutrition,2916
14245,Australasian Psychiatry,2738
21100258753,Journal of the American Society of Cytopathology,2734
5200152632,Environmental Research Letters,2739
130028,Clinical Case Studies,2738
21100226442,Frontiers in Microbiology,2726
20720,Ethnicity and Health,3316
18594,Pharmacopsychiatry,2738
130008,Photodiagnosis and Photodynamic Therapy,1304
21871,Current Opinion in Anaesthesiology,2703
21100203935,Revista Espanola de Medicina Nuclear e Imagen Molecular,2741
22099,Environmental and Molecular Mutagenesis,2713
11900154404,PLoS Neglected Tropical Diseases,2725
21843,Anesthesia and Analgesia,2703
21100203112,"Philosophy, Psychiatry and Psychology",2303
5800207390,The Clinical Supervisor,3203
16868,Motor Control,2737
20810,Immunological Reviews,2723
21100241208,Bone and Joint Journal,2732
17408,Multiple Sclerosis,2808
19837,Sleep Medicine Reviews,2728
23441,Indian Pacing and Electrophysiology Journal,2705
17700155034,Natural Product Communications,3004
17300154942,Molecular Cytogenetics,1312
21944,Substance Abuse,2738
18993,New Genetics and Society,1311
6400153136,BioPsychoSocial Medicine,2803
20471,Pediatric Nephrology,2727
21431,Indoor Air,2305
21908,Journal of School Health,1211
23377,Chemical Senses,2802
21100286809,Policy and Practice in Health and Safety,2719
144798,High Blood Pressure and Cardiovascular Prevention,2724
6400153146,Head and Face Medicine,2733
4000151826,Vascular Disease Management,2705
19700175093,Clinical Pharmacology: Advances and Applications,2736
23761,International Journal of Angiology,2705
4700152453,"Iranian Journal of Allergy, Asthma and Immunology",2723
24868,Journal of Investigative Dermatology,2708
23832,Journal of Cardiovascular Electrophysiology,2705
21905,Journal of Public Health Management and Practice,2739
19700176023,Virulence,2726
22418,Journal of Antimicrobial Chemotherapy,3004
14604,Ophthalmic and Physiological Optics,2809
24946,Sexually Transmitted Infections,2725
14900,Clinical Neurophysiology,2809
5200152840,Intellectual and Developmental Disabilities,2735
19700190302,Mediterranean Journal of Hematology and Infectious Diseases,2725
12841,Clinical Child and Family Psychology Review,3203
20901,Wilderness and Environmental Medicine,3612
22522,Cardiology,2736
17539,Academic Psychiatry,3304
13900154714,Influenza and other Respiratory Viruses,2713
19700173006,Clinical Epigenetics,1312
17309,Neuroradiology,2741
26015,Leukemia,2720
15771,Muscle and Nerve,2728
23056,Journal of Oncology Pharmacy Practice,2730
21100232419,Andrology,2743
21100269616,Journal of Intellectual Disabilities and Offending Behaviour,3203
25300,Journal of Viral Hepatitis,2406
17600155230,Journal of Infection Prevention,2739
30014,Journal of Motor Behavior,2805
21100201916,Pediatric obesity,2916
12100154836,Evidence-Based Communication Assessment and Intervention,3310
21100225613,Human gene therapy methods,3004
20674,Vascular Medicine,2705
4700152462,Physics of Particles and Nuclei Letters,2741
13247,Experimental and Molecular Pathology,2734
15300154855,Journal of Neural Transmission,2738
21100213700,Journal of Clinical Neurology (Korea),2808
12257,Journal of Orthopaedic Trauma,2746
21100780830,Canadian Journal of Kidney Health and Disease,2727
19279,Transplantation Proceedings,2746
24635,European Journal of Contraception and Reproductive Health Care,2729
13318,Hastings Center Report,2719
21100225613,Human gene therapy methods,1313
13422,Psychoanalytic Quarterly,2738
28711,Annals of Oncology,2730
4700151731,"Applied Physiology, Nutrition and Metabolism",1314
16442,Journal of Travel Medicine,2739
12480,Work,2742
14255,Autonomic Neuroscience: Basic and Clinical,2804
19700166901,Fungal Biology,2725
12600154735,Pediatrics and Neonatology,2735
25387,Acta Diabetologica,1310
27707,Heart and Lung: Journal of Acute and Critical Care,2706
21858,British Journal of Anaesthesia,2703
12100155517,Journal of Medical Imaging and Radiation Sciences,2741
16726,Journal of Intellectual Disability Research,2808
28110,BMC Medical Research Methodology,2713
13744,JARO - Journal of the Association for Research in Otolaryngology,2809
4700152753,Translational Research,2704
4700153004,AIDS Research and Therapy,2406
21100454916,Abdominal Radiology,2748
4000148706,Clinical and Vaccine Immunology,2723
12218,Journal of Head Trauma Rehabilitation,3612
21100422918,Bone and Joint Research,2732
26662,Pancreatology,1310
5300152705,General Thoracic and Cardiovascular Surgery,2746
14608,Ophthalmic Genetics,2731
21100199819,Epilepsy Currents,2728
145172,Behavioral Sleep Medicine,2801
