"Scopus Source Identifier","Journal","2016 Cite Score","Number of Cases (Model 1)","Odds Ratio (Model 1)","95% CI Lower Bound (Model 1)","95% CI Upper Bound (Model 1)","P-Value (Model 1)","Number of Cases (Model 2)","Odds Ratio (Model 2)","95% CI Lower Bound (Model 2)","95% CI Upper Bound (Model 2)","P-Value (Model 2)","Number of ICCs (2013)","Number of ICCs (2014)","Number of ICCs (2015)","Number of ICCs (2016)","Number of ICCs (2017)","Journal Topics"
"24759","Addiction Research and Theory",1.37,8,"0.37","0.07","2.11","0.264",8,"0.37","0.07","2.11","0.280",5,1,1,0,1,"Medicine (miscellaneous)"
"26613","Administration and Policy in Mental Health and Mental Health Services Research",1.89,14,"0.58","0.19","1.82","0.351",14,"0.58","0.19","1.82","0.159",5,2,2,11,4,"Health Policy; Psychiatry and Mental Health; Public, Environmental, and Occupational Health"
"21100202730","Advances in nutrition (Bethesda, Md.)",4.77,9,"0.84","0.20","3.51","0.810",9,"0.84","0.20","3.51","0.835",3,2,2,3,0,"Medicine (miscellaneous)"
"17600","Advances in Psychiatric Treatment",0.49,5,"1.58","0.24","10.44","0.637",5,"1.58","0.24","10.44","0.631",0,4,0,0,1,"Psychiatry and Mental Health"
"26915","Advances in Therapy",2.74,5,"2.16","0.13","34.61","0.586",5,"2.16","0.13","34.61","0.359",3,0,1,1,1,"Pharmacology (medical)"
"52691","Aerobiologia",2.02,3,"1.13","0.10","12.81","0.924",3,"1.13","0.10","12.81","1.000",0,1,0,1,1,"Immunology and Allergy"
"20416","Aesthetic Plastic Surgery",1.07,8,"0.81","0.04","14.94","0.887",8,"0.81","0.04","14.94","0.371",4,1,1,0,3,"Surgery"
"20417","Aesthetic Surgery Journal",1.51,64,"0.36","0.14","0.93","0.035",64,"0.36","0.14","0.93","0.047",1,4,37,32,32,"Surgery"
"28093","Age and Ageing",3.85,22,"0.37","0.13","1.04","0.058",22,"0.37","0.13","1.04","0.017",3,4,6,7,6,"Geriatrics and Gerontology"
"28478","Aging and Mental Health",2.23,2,"0.50","0.03","7.99","0.624",2,"0.50","0.03","7.99","0.998",0,1,0,0,1,"Geriatrics and Gerontology; Psychiatry and Mental Health"
"21309","AIDS",3.62,84,"1.07","0.67","1.72","0.783",84,"1.07","0.67","1.72","0.582",17,23,12,23,19,"Immunology and Allergy; Infectious Diseases"
"20153","AIDS and Behavior",2.7,26,"1.80","0.77","4.23","0.178",26,"1.80","0.77","4.23","0.972",9,13,0,1,4,"Infectious Diseases; Public, Environmental, and Occupational Health"
"21321","AIDS Care - Psychological and Socio-Medical Aspects of AIDS/HIV",1.91,4,"0.88","0.11","6.94","0.904",4,"0.88","0.11","6.94","0.602",4,0,0,0,1,"Public, Environmental, and Occupational Health"
"4700153004","AIDS Research and Therapy",2.1,3,"0.96","0.09","10.86","0.975",3,"0.96","0.09","10.86","0.939",1,0,1,0,1,"Pharmacology (medical)"
"21100324708","AJOB Empirical Bioethics",0.78,3,"0.36","0.03","4.20","0.416",3,"0.36","0.03","4.20","1.000",0,0,2,1,0,"Health Policy"
"24786","Alcohol and Alcoholism",2.32,11,"0.81","0.21","3.11","0.764",11,"0.81","0.21","3.11","0.482",5,3,2,1,1,"Medicine (miscellaneous); Psychiatry and Mental Health"
"24791","Alcoholism: Clinical and Experimental Research",2.88,36,"1.01","0.50","2.05","0.970",36,"1.01","0.50","2.05","0.265",11,10,15,7,4,"Medicine (miscellaneous); Psychiatry and Mental Health"
"27822","Alimentary Pharmacology and Therapeutics",3.77,59,"1.39","0.74","2.61","0.302",59,"1.39","0.74","2.61","0.973",29,15,10,1,14,"Pharmacology (medical)"
"20184","Allergology International",2.21,7,"0.64","0.06","6.96","0.717",7,"0.64","0.06","6.96","0.714",4,4,5,5,5,"Immunology and Allergy"
"20190","Allergy and Asthma Proceedings",1.87,4,"1.58","0.14","17.86","0.711",4,"1.58","0.14","17.86","0.992",2,3,0,0,0,"Immunology and Allergy; Pulmonary and Respiratory Medicine"
"4800153203","Allergy, Asthma and Clinical Immunology",2.39,3,"0.77","0.07","8.60","0.833",3,"0.77","0.07","8.60","0.897",0,5,0,0,0,"Immunology and Allergy; Pulmonary and Respiratory Medicine"
"20185","Allergy: European Journal of Allergy and Clinical Immunology",6.23,13,"0.77","0.20","2.96","0.705",13,"0.77","0.20","2.96","0.948",4,11,1,5,0,"Immunology and Allergy"
"3600148102","Alzheimer's and Dementia",8.56,9,"1.14","0.26","5.01","0.863",9,"1.14","0.26","5.01","0.575",4,4,5,0,1,"Clinical Neurology; Epidemiology; Geriatrics and Gerontology; Health Policy; Psychiatry and Mental Health"
"19700174935","Alzheimer's Research and Therapy",5.61,12,"0.42","0.09","2.06","0.287",12,"0.42","0.09","2.06","0.174",2,2,4,2,2,"Clinical Neurology"
"27043","American Family Physician",0.71,6,"0.64","0.07","6.11","0.696",6,"0.64","0.07","6.11","0.798",1,1,4,3,3,"Family Practice"
"19700175100","American Health and Drug Benefits",0.77,5,"1.02","0.15","7.08","0.981",5,"1.02","0.15","7.08","0.499",0,2,4,8,9,"Health Policy"
"22414","American Heart Journal",4,9,"0.52","0.06","4.50","0.555",9,"0.52","0.06","4.50","0.725",6,2,2,0,0,"Cardiology and Cardiovascular Medicine"
"21676","American Journal of Bioethics",0.62,199,"0.70","0.50","0.99","0.042",199,"0.70","0.50","0.99","0.013",79,62,107,81,108,"Health Policy"
"22415","American Journal of Cardiology",3.02,8,"0.47","0.05","4.10","0.494",8,"0.47","0.05","4.10","0.552",3,1,3,0,1,"Cardiology and Cardiovascular Medicine"
"29990","American Journal of Clinical Nutrition",5.97,128,"0.46","0.30","0.70","0.000",128,"0.46","0.30","0.70","0.007",31,31,30,32,34,"Medicine (miscellaneous)"
"27045","American Journal of Clinical Pathology",2.15,10,"0.14","0.02","1.24","0.078",10,"0.14","0.02","1.24","0.038",3,2,3,2,0,"Pathology and Forensic Medicine"
"16925","American Journal of Community Psychology",2.76,6,"0.27","0.03","2.44","0.241",6,"0.27","0.03","2.44","0.294",0,6,1,5,2,"Public, Environmental, and Occupational Health"
"25229","American Journal of Drug and Alcohol Abuse",2.06,19,"1.10","0.43","2.80","0.842",19,"1.10","0.43","2.80","0.740",4,4,2,5,9,"Medicine (miscellaneous); Psychiatry and Mental Health"
"15207","American Journal of Emergency Medicine",0.95,30,"0.35","0.07","1.69","0.191",30,"0.35","0.07","1.69","0.367",1,1,10,22,5,"Emergency Medicine"
"27058","American Journal of Epidemiology",3.85,149,"0.71","0.50","1.02","0.061",149,"0.71","0.50","1.02","0.012",37,39,42,26,32,"Epidemiology"
"27825","American Journal of Gastroenterology",5.16,137,"0.47","0.28","0.79","0.005",137,"0.47","0.28","0.79","0.010",45,26,23,32,43,"Gastroenterology; Hepatology"
"28534","American Journal of Geriatric Psychiatry",2.81,76,"0.72","0.43","1.23","0.233",76,"0.72","0.43","1.23","0.191",15,10,12,22,46,"Geriatrics and Gerontology; Psychiatry and Mental Health"
"19443","American Journal of Health-System Pharmacy",0.93,14,"0.97","0.24","3.84","0.961",14,"0.97","0.24","3.84","0.728",0,2,5,6,7,"Health Policy"
"25424","American Journal of Hematology",3.33,14,"0.19","0.02","1.52","0.119",14,"0.19","0.02","1.52","0.273",3,3,2,5,3,"Hematology"
"21677","American Journal of Human Genetics",8.43,16,"0.48","0.14","1.63","0.236",16,"0.48","0.14","1.63","0.412",0,0,5,11,3,"Genetics (clinical)"
"22420","American Journal of Hypertension",2.52,41,"0.48","0.18","1.27","0.139",41,"0.48","0.18","1.27","0.356",7,16,8,5,15,"Internal Medicine"
"28563","American Journal of Industrial Medicine",1.8,12,"2.78","0.79","9.81","0.112",12,"2.78","0.79","9.81","0.094",4,6,0,5,3,"Public, Environmental, and Occupational Health"
"21786","American Journal of Infection Control",2.09,12,"1.09","0.32","3.76","0.892",12,"1.09","0.32","3.76","0.998",2,3,0,5,7,"Epidemiology; Health Policy; Infectious Diseases; Public, Environmental, and Occupational Health"
"19366","American Journal of Kidney Diseases",3.47,127,"1.30","0.87","1.95","0.197",127,"1.30","0.87","1.95","0.157",37,47,22,37,22,"Nephrology"
"21100198496","American Journal of Lifestyle Medicine",0.54,7,"0.52","0.11","2.40","0.404",7,"0.52","0.11","2.40","0.107",1,1,2,8,7,"Health Policy; Medicine (miscellaneous); Public, Environmental, and Occupational Health"
"145157","American Journal of Medical Genetics, Part A",1.84,13,"0.48","0.14","1.70","0.258",13,"0.48","0.14","1.70","0.467",2,3,4,5,2,"Genetics (clinical)"
"110320","American Journal of Medical Genetics, Part C: Seminars in Medical Genetics",5.28,9,"0.24","0.05","1.24","0.089",9,"0.24","0.05","1.24","0.345",0,4,3,3,3,"Genetics (clinical)"
"31445","American Journal of Medicine",2.13,37,"0.15","0.03","0.63","0.010",37,"0.15","0.03","0.63","0.017",19,12,9,9,9,"Medicine (all)"
"19367","American Journal of Nephrology",2.61,25,"1.37","0.50","3.78","0.544",25,"1.37","0.50","3.78","0.719",1,0,6,6,14,"Nephrology"
"20028","American Journal of Neuroradiology",3.37,21,"0.38","0.08","1.76","0.218",21,"0.38","0.08","1.76","0.510",5,7,2,3,5,"Clinical Neurology; Radiology Nuclear Medicine and Imaging"
"30078","American Journal of Obstetrics and Gynecology",2.81,60,"0.85","0.48","1.51","0.588",60,"0.85","0.48","1.51","0.831",12,17,22,11,17,"Obstetrics and Gynecology"
"13266","American Journal of Ophthalmology",3.8,22,"0.86","0.29","2.53","0.780",22,"0.86","0.29","2.53","0.863",5,12,8,0,0,"Ophthalmology"
"27062","American Journal of Pathology",4.1,36,"0.94","0.40","2.21","0.882",36,"0.94","0.40","2.21","0.853",6,8,11,11,5,"Pathology and Forensic Medicine"
"33784","American Journal of Physical Anthropology",2.36,4,"2.48","0.30","20.39","0.399",4,"2.48","0.30","20.39","1.000",1,1,2,1,0,"Anatomy"
"16263","American Journal of Physical Medicine and Rehabilitation",1.44,7,"0.82","0.12","5.65","0.841",7,"0.82","0.12","5.65","0.733",2,1,0,1,4,"Rehabilitation"
"23310","American Journal of Physiology - Gastrointestinal and Liver Physiology",3.62,12,"0.24","0.03","1.95","0.183",12,"0.24","0.03","1.95","0.514",1,1,3,6,3,"Gastroenterology; Hepatology; Physiology (medical)"
"23311","American Journal of Physiology - Heart and Circulatory Physiology",3.26,38,"0.25","0.07","0.91","0.035",38,"0.25","0.07","0.91","0.012",1,2,21,11,9,"Cardiology and Cardiovascular Medicine; Physiology (medical)"
"23326","American Journal of Physiology - Lung Cellular and Molecular Physiology",4.01,7,"0.90","0.09","8.53","0.926",7,"0.90","0.09","8.53","0.520",0,1,0,3,3,"Physiology (medical); Pulmonary and Respiratory Medicine"
"23327","American Journal of Physiology - Regulatory Integrative and Comparative Physiology",3.03,16,"0.92","0.28","3.04","0.889",16,"0.92","0.28","3.04","0.841",0,5,2,7,5,"Physiology (medical)"
"27063","American Journal of Preventive Medicine",4.04,83,"0.95","0.57","1.56","0.830",83,"0.95","0.57","1.56","0.852",35,21,30,17,12,"Epidemiology; Public, Environmental, and Occupational Health"
"17664","American Journal of Psychiatry",5.68,166,"0.65","0.44","0.94","0.024",166,"0.65","0.44","0.94","0.495",45,43,36,42,43,"Psychiatry and Mental Health"
"19561","American Journal of Public Health",3.18,51,"1.10","0.59","2.06","0.762",51,"1.10","0.59","2.06","0.959",5,37,2,11,13,"Public, Environmental, and Occupational Health"
"9500153922","American Journal of Reproductive Immunology",2.82,4,"1.90","0.25","14.20","0.532",4,"1.90","0.25","14.20","0.142",2,0,0,1,1,"Immunology and Allergy; Obstetrics and Gynecology; Reproductive Medicine"
"18000","American Journal of Respiratory and Critical Care Medicine",5.33,233,"0.56","0.39","0.80","0.001",233,"0.56","0.39","0.80","0.025",60,44,53,48,74,"Critical Care and Intensive Care Medicine; Pulmonary and Respiratory Medicine"
"18004","American Journal of Respiratory Cell and Molecular Biology",3.88,19,"0.85","0.28","2.63","0.779",19,"0.85","0.28","2.63","0.465",0,0,0,1,18,"Pulmonary and Respiratory Medicine"
"17800156704","American Journal of Rhinology and Allergy",1.93,16,"0.49","0.10","2.31","0.365",16,"0.49","0.10","2.31","0.754",7,4,4,2,4,"Immunology and Allergy; Otorhinolaryngology"
"20029","American Journal of Roentgenology",2.46,32,"0.53","0.21","1.34","0.181",32,"0.53","0.21","1.34","0.321",13,9,10,6,7,"Radiology Nuclear Medicine and Imaging"
"19799","American Journal of Sports Medicine",4.98,12,"0.65","0.08","5.63","0.696",12,"0.65","0.08","5.63","0.869",3,2,5,5,0,"Orthopedics and Sports Medicine"
"27085","American Journal of Surgical Pathology",5.05,7,"0.87","0.15","4.95","0.874",7,"0.87","0.15","4.95","0.754",7,0,0,3,0,"Anatomy; Pathology and Forensic Medicine; Surgery"
"27086","American Journal of the Medical Sciences",1.27,7,"1.58","0.33","7.55","0.564",7,"1.58","0.33","7.55","0.263",0,2,0,0,6,"Medicine (all)"
"20443","American Journal of Transplantation",4.16,147,"0.98","0.65","1.49","0.941",147,"0.98","0.65","1.49","0.371",40,42,35,44,46,"Immunology and Allergy; Pharmacology (medical); Transplantation"
"21787","American Journal of Tropical Medicine and Hygiene",2.57,42,"0.98","0.48","2.00","0.959",42,"0.98","0.48","2.00","0.218",13,7,12,11,9,"Infectious Diseases"
"21410","Anaesthesia",1.66,30,"0.49","0.16","1.54","0.224",30,"0.49","0.16","1.54","0.165",20,11,4,12,8,"Anesthesiology and Pain Medicine"
"21411","Anaesthesia and Intensive Care",0.78,9,"0.31","0.03","2.87","0.305",9,"0.31","0.03","2.87","0.253",6,1,2,2,0,"Anesthesiology and Pain Medicine; Critical Care and Intensive Care Medicine"
"21100435142","Anaesthesia, critical care & pain medicine",0.69,32,"0.28","0.06","1.21","0.088",32,"0.28","0.06","1.21","0.152",0,0,14,14,9,"Anesthesiology and Pain Medicine; Critical Care and Intensive Care Medicine"
"21100255120","Anaesthesiology Intensive Therapy",1.17,5,"1.77","0.16","20.10","0.645",5,"1.77","0.16","20.10","0.995",1,1,2,1,0,"Anesthesiology and Pain Medicine; Critical Care and Intensive Care Medicine"
"14477","Anales de Pediatria",0.32,21,"0.53","0.19","1.52","0.240",21,"0.53","0.19","1.52","0.414",4,7,3,5,6,"Pediatrics, Perinatology, and Child Health"
"21100403271","Anatolian journal of cardiology",0.39,19,"1.29","0.38","4.33","0.684",19,"1.29","0.38","4.33","0.609",0,0,3,13,6,"Cardiology and Cardiovascular Medicine"
"15300154803","Anatomical Record",1.46,19,"0.92","0.31","2.76","0.884",19,"0.92","0.31","2.76","0.725",0,11,10,6,11,"Anatomy; Histology"
"12100154911","Anatomical Sciences Education",2.62,7,"0.63","0.11","3.75","0.612",7,"0.63","0.11","3.75","0.285",3,6,5,0,1,"Anatomy; Embryology; Histology"
"21100232419","Andrology",2.53,7,"2.35","0.37","14.81","0.364",7,"2.35","0.37","14.81","0.452",2,0,1,7,1,"Endocrinology, Diabetes, and Metabolism; Reproductive Medicine; Urology"
"21843","Anesthesia and Analgesia",2.57,149,"1.04","0.67","1.60","0.868",149,"1.04","0.67","1.60","0.768",31,58,78,50,60,"Anesthesiology and Pain Medicine"
"21846","Anesthesiology",3.01,126,"0.58","0.34","0.98","0.042",126,"0.58","0.34","0.98","0.106",28,49,41,44,31,"Anesthesiology and Pain Medicine"
"22441","Angiology",1.62,70,"0.60","0.22","1.59","0.301",70,"0.60","0.22","1.59","0.337",16,38,11,22,29,"Cardiology and Cardiovascular Medicine"
"22715","Annals of Agricultural and Environmental Medicine",1.07,3,"1.32","0.10","18.27","0.834",3,"1.32","0.10","18.27","0.597",1,0,1,1,0,"Public, Environmental, and Occupational Health"
"20649","Annals of Allergy, Asthma and Immunology",1.87,8,"0.78","0.13","4.49","0.778",8,"0.78","0.13","4.49","0.795",1,1,1,5,3,"Immunology and Allergy; Pulmonary and Respiratory Medicine"
"27473","Annals of Behavioral Medicine",3.2,34,"0.67","0.31","1.46","0.315",34,"0.67","0.31","1.46","0.374",20,13,6,0,0,"Psychiatry and Mental Health"
"7200153146","Annals of Cardiac Anaesthesia",0.52,14,"0.42","0.05","3.60","0.429",14,"0.42","0.05","3.60","0.682",15,9,2,2,3,"Anesthesiology and Pain Medicine; Cardiology and Cardiovascular Medicine"
"21100823147","Annals of Clinical and Translational Neurology",2.79,7,"0.35","0.04","3.02","0.340",7,"0.35","0.04","3.02","0.202",0,1,5,1,0,"Clinical Neurology"
"15220","Annals of Emergency Medicine",1.58,67,"0.65","0.34","1.24","0.189",67,"0.65","0.34","1.24","0.343",24,25,23,22,33,"Emergency Medicine"
"19569","Annals of Epidemiology",2.42,10,"0.80","0.20","3.16","0.751",10,"0.80","0.20","3.16","0.611",2,1,2,3,2,"Epidemiology"
"27479","Annals of Family Medicine",2.73,16,"0.23","0.05","1.06","0.059",16,"0.23","0.05","1.06","0.038",6,9,9,8,12,"Family Practice"
"7500153130","Annals of Gastroenterology",1.61,13,"0.31","0.04","2.49","0.272",13,"0.31","0.04","2.49","0.198",3,3,5,3,0,"Gastroenterology"
"13035","Annals of Human Biology",1.31,5,"1.15","0.13","10.17","0.897",5,"1.15","0.13","10.17","0.815",0,0,3,3,0,"Epidemiology; Public, Environmental, and Occupational Health"
"26574","Annals of Internal Medicine",3.45,182,"0.76","0.53","1.08","0.128",182,"0.76","0.53","1.08","0.506",18,46,66,46,71,"Internal Medicine"
"14179","Annals of Neurology",7.1,24,"0.09","0.01","0.68","0.020",24,"0.09","0.01","0.68","0.025",7,10,2,3,5,"Clinical Neurology"
"28711","Annals of Oncology",8.09,132,"0.74","0.47","1.16","0.190",132,"0.74","0.47","1.16","0.169",29,23,31,24,46,"Hematology; Oncology"
"19464","Annals of Pharmacotherapy",2.41,4,"4.47","0.38","52.44","0.233",4,"4.47","0.38","52.44","0.588",1,0,1,0,3,"Pharmacology (medical)"
"16500154708","Annals of Physical and Rehabilitation Medicine",1.29,4,"0.73","0.06","8.94","0.806",4,"0.73","0.06","8.94","0.997",0,1,1,1,2,"Orthopedics and Sports Medicine; Rehabilitation"
"20485","Annals of Surgery",5.14,73,"0.87","0.47","1.60","0.649",73,"0.87","0.47","1.60","0.455",16,14,17,16,20,"Surgery"
"39465","Annals of Surgical Oncology",3.84,53,"0.47","0.20","1.09","0.079",53,"0.47","0.20","1.09","0.259",6,20,13,15,14,"Oncology; Surgery"
"21100241659","Annals of the American Thoracic Society",2.54,143,"0.65","0.42","1.02","0.060",143,"0.65","0.42","1.02","0.034",12,31,41,48,44,"Pulmonary and Respiratory Medicine"
"19136","Annals of the Rheumatic Diseases",8.02,136,"0.76","0.51","1.13","0.171",136,"0.76","0.51","1.13","0.400",19,56,28,46,34,"Immunology and Allergy; Rheumatology"
"4700153005","Annals of Thoracic Medicine",1.32,5,"0.76","0.08","7.06","0.810",5,"0.76","0.08","7.06","0.746",1,0,1,1,2,"Cardiology and Cardiovascular Medicine; Pulmonary and Respiratory Medicine; Surgery"
"20489","Annals of Thoracic Surgery",1.68,281,"0.71","0.46","1.10","0.124",281,"0.71","0.46","1.10","0.370",114,87,90,69,56,"Cardiology and Cardiovascular Medicine; Pulmonary and Respiratory Medicine; Surgery"
"19615","Antimicrobial Agents and Chemotherapy",4.21,65,"0.61","0.33","1.16","0.131",65,"0.61","0.33","1.16","0.102",16,22,17,11,8,"Infectious Diseases; Pharmacology (medical)"
"21100401153","Antimicrobial Resistance and Infection Control",2.62,8,"0.71","0.12","4.13","0.706",8,"0.71","0.12","4.13","0.981",1,1,1,3,3,"Infectious Diseases; Microbiology (medical); Pharmacology (medical); Public, Environmental, and Occupational Health"
"21790","Antiviral Therapy",2.22,15,"1.47","0.47","4.55","0.506",15,"1.47","0.47","4.55","0.457",9,1,2,1,3,"Infectious Diseases; Pharmacology (medical)"
"14183","Aphasiology",1.39,18,"0.72","0.23","2.25","0.577",18,"0.72","0.23","2.25","0.432",1,3,13,5,2,"Clinical Neurology; Otorhinolaryngology"
"27516","Applied Health Economics and Health Policy",1.97,7,"0.80","0.15","4.39","0.798",7,"0.80","0.15","4.39","0.567",3,1,1,1,3,"Health Policy"
"4700151731","Applied Physiology, Nutrition and Metabolism",1.83,13,"0.65","0.17","2.56","0.541",13,"0.65","0.17","2.56","0.533",0,2,4,7,3,"Endocrinology, Diabetes, and Metabolism; Physiology (medical)"
"11300153709","Archives of Cardiovascular Diseases",2.1,8,"0.37","0.04","3.36","0.375",8,"0.37","0.04","3.36","0.468",0,1,1,5,2,"Cardiology and Cardiovascular Medicine"
"14491","Archives of Disease in Childhood",1.95,57,"0.73","0.40","1.35","0.315",57,"0.73","0.40","1.35","0.419",20,9,12,16,12,"Pediatrics, Perinatology, and Child Health"
"14492","Archives of Disease in Childhood: Education and Practice Edition",0.76,4,"0.20","0.01","3.29","0.263",4,"0.20","0.01","3.29","0.998",0,3,1,0,0,"Pediatrics, Perinatology, and Child Health"
"30081","Archives of Disease in Childhood: Fetal and Neonatal Edition",2.42,22,"0.45","0.16","1.29","0.137",22,"0.45","0.16","1.29","0.313",2,7,9,9,6,"Obstetrics and Gynecology; Pediatrics, Perinatology, and Child Health"
"21100422060","Archives of endocrinology and metabolism",1.25,17,"0.91","0.31","2.73","0.872",17,"0.91","0.31","2.73","0.934",0,0,7,4,9,"Endocrinology, Diabetes, and Metabolism"
"30082","Archives of Gynecology and Obstetrics",1.84,24,"0.36","0.10","1.33","0.124",24,"0.36","0.10","1.33","0.099",1,9,14,4,2,"Obstetrics and Gynecology"
"27539","Archives of Iranian Medicine",1.26,6,"0.60","0.07","5.52","0.651",6,"0.60","0.07","5.52","0.406",2,12,0,0,1,"Medicine (all)"
"4000151806","Archives of Medical Science",1.83,2,"2.19","0.08","63.94","0.649",2,"2.19","0.08","63.94","1.000",0,0,0,0,2,"Medicine (all)"
"6000195386","Archives of Osteoporosis",2.53,9,"0.47","0.09","2.52","0.375",9,"0.47","0.09","2.52","0.660",3,0,2,0,4,"Orthopedics and Sports Medicine"
"36099","Archives of Pathology and Laboratory Medicine",2.65,16,"0.93","0.31","2.77","0.894",16,"0.93","0.31","2.77","0.720",8,4,6,1,8,"Pathology and Forensic Medicine"
"16270","Archives of Physical Medicine and Rehabilitation",2.95,57,"1.35","0.74","2.45","0.331",57,"1.35","0.74","2.45","0.434",23,27,22,10,3,"Rehabilitation"
"19590","Archives of Public Health",1.84,5,"0.60","0.09","3.89","0.592",5,"0.60","0.09","3.89","0.994",0,2,2,1,1,"Public, Environmental, and Occupational Health"
"15125","Archivos de la Sociedad Espanola de Oftalmologia",0.29,2,"6.00","0.35","101.57","0.214",2,"6.00","0.35","101.57","1.000",0,0,0,2,3,"Ophthalmology"
